Hospital_Names,Addresses,Category,Contact_Info
Sta. Lucia District Hospital,"Nat'l. Highway, San Juan Sta. Lucia, ilocos Sur",level 2/secondary,
Dr. Atanacio T. Dayrit Jr. Medical Hospital,"Centro, Cabatuan, Isabela 3315",Level 1/Primary,0778-6648239
Dr. Ester Garcia General Hospital,"Cabatuan Road,San Fermin, Cauayan City, Isabela 3305",Level 2/Secondary,078-6520906/2694
De Jesus General Hospital,"No. 5 B.S. Aquino Avenue, Baliuag Bulacan, Philippines",Level 2/Secondary,044-7663062/7405/7040
Dr. Janet Tumolva-Lusung Medical Clinic and Hospital,"Ragan Sur, Delfin Albano, Isabela",level 1/primary,
Cabadbaran District Hospital,"Cabadbaran, Agusan del Norte",Level 2/Secondary,(085) 343-1211
Jabonga Municipal Hospital,"Jabonga, Agusan del Norte",Level 1/Primary,
Tagudin General Hospital and Capillariasis Center,Tagudin Ilocos Sur,Level 2/Secondary,77-7487015/7487050 fax
Kitcharao District Hospital,"Kitcharao, Agusan del Norte",Level 1/Primary,0919-7144854
Gabriela Silang General Hospital,Tamag Vigan City Ilocos Sur,Level 3/Tertiary,77-7227339/7099
Dumlao Hospital,"Sergio Osmena St.,Vira, Roxas, Isabela 3320",Level 2/Secondary,078-6428088
Nasipit District Hospital,"Nasipit, Agusan del Norte",Level 1/Primary,(085) 343-2053
Yumena Surgical and Medical Clinic,"Dona Syquia St.,BantugRoxas, Isabela 3320",Level 1/Primary,078-6428536
Acas Clinic and Hospital,Tamag Vigan City Ilocos Sur,Level 1/Primary,077-7222258
Las Nieves Municipal Hospital,"Las Nieves, Agusan del Norte",Level 1/Primary,(085) 341-3535
Dr. Noel C. de Leon Maternity Clinic,"Sergio Osmena St.,Vira, Roxas, Isabela 3320",Level 1/Primary,078-6428277
Figuerres Clinic and Hospital,"38 Mena Crisologo St.Vigan City, Ilocos Sur",level 1/primary,
"Butuan Doctors' Hospital, Inc.",,Level 3/Tertiary,(085) 342-2700
Agusan del Norte Provincial Hospital,,Level 3/Tertiary,(085) 341-5129
Manuel J. Santos Hospital,,Level 3/Tertiary,(085) 341-2222/225-5221
Hospital of the Holy Cross,"V.R. Medrano Sr., cor T.M. Kalaw Sts., Ilaya, Calapan City, Oriental Mindoro",Level 2/Secondary,043-2885855/4410560
Bayugan Community Hospital,"Bayugan, Agusan del Sur",Level 1/Primary,(085) 231-2136
Mina de Oro General Hospital,"Poblacion IV, Victoria, Oriental Mindoro",Level 1/Primary,2855284
Butuan Medical Center,"Tiniwinsan, Butuan City",Level 3/Tertiary,(085) 815-2648
Dr. Victor S. Villaroman Memorial Hospital,"Burgos St.,Centro, Ilagan, Isabela 3300",,
Ilocos Sur Cooperative Medical Mission Group and Hospital,Jose Singson St. Vigan City Ilocos Sur,Level 1/Primary,077-7221509 telefax
Bunawan District Hospital,"Bunawan, Agusan del Sur",Level 2/Secondary,
Judge Celestino Guerrero Memorial Hospital,Dakota St.Sta. Maria Ilocos Sur,Level 1-Special,
Gambalan Hospital,"San Antonio, Delfin Albano, Isabela 3326",Level 1/Primary,0920-9559007
Esperanza Medicare Community Hospital,"Esperanza, Agusan del Sur",Level 1/Primary,
Gines Hospital,"Roxas St.,Centro, Cauayan City, Isabela 3305",Level 2/Secondary,078-6521967
Pacencia Gonzales Memorial Emergency Hospital,48 del Pilar District Tagudin Ilocos Sur,Level 1/Primary,077-7487031 / 6521283
La Paz Municipal Hospital,"La Paz, Agusan del Sur",Level 1/Primary,
The Ross Mauricio Memorial Hospital,"Quezon St.,Centro, Cauayan City, Isabela 3305",Level 1/Primary,078-6521136
Loreto Municipal Hospital,"Loreto, Agusan del Sur",Level 1/Primary,
Emilio G. Perez Memorial District Hospital,"Sto. Niño, Hagonoy, Bulacan, Philippines",Level 2/Secondary,044-6672132
Rabara Clinic and Hospital,59 Rizal St. Vigan City Ilocos Sur,Level 1/Primary,077-7222287
Ospital ng Guiguinto,"Tabe, Guiguinto Bulacan, Philippines",Level 2/Secondary,044-6900366
Lucas-Paguila Medical Clinic,"Rizal St.,Magsaysay, Alicia, Isabela 3306",Level 2/Secondary,078-6627073/6627353
D.O. Plaza Memorial Hospital,"Patin-ay, Prosperidad Agusan del Sur",Level 3/Tertiary,(085) 343-7441/343-7420/343-7343
Manango Hospital,"National Highway, San Antonio, Alicia, Isabela 3306",Level 1/Primary,078-6627813
Romel Cruz Hospital,"Baog, Matimbo, MAlolos City, Bulacan ,Philippines",Level 2/Secondary,044-7913025
Siargao District Hospital,"Siargao, Surigao del Norte",Level 1/Primary,
Plaridel County Hospital,"Tabang, Plaridel, Bulacan, Philippines",Level 2/Secondary,044-7957948/7950001
Recel Medical Clinic and Hospital,Poblacion sta. Catalina Ilocos Sur,Level 1/Primary,077-7228404
Tomas-Cacal Medical Clinic & Hospital,"Quezon Street, Magsaysay, Alicia, Isabela 3306",Level 2/Secondary,078-6627192
Del Carmen District Hospital,"Del Carmen, Surigao del Norte",Level 1/Primary,(085) 232-6593
MMG Hospital & Health Service Coop. of Oriental Mindoro,"J.P. Rizal St., Tawiran, Calapan City, Oriental Mindoro",Level 3/Tertiary,043-2882275
Sto. Niño Hospital,Baliw Laud Sta Maria Ilocos Sur,Level 1-Special,077-7325550 ; fax 7325573
Gigaguit Municipal Hospital,"Gigaguit, Surigao del Norte",Level 1/Primary,(086) 254-5353
New Samaritan Medical & Pediatric Clinic,"Quezon St., Centro, San Mateo, Isabela 3318",Level 1/Primary,078-6642360
Dinagat District Hospital,"Dinagat, Surigao del Norte",Level 1/Primary,(085) 232-6577
Piedad Medical Clinic,"Rizal St., Centro, San Mateo, Isabela",Level 1/Primary,078-6442062
Marcelo Hospital,"237 M. Ponce St., Baliuag, Bulacan, Philippines",Level 2/Secondary,044-7662517; 7667025
Tolentino Clinic and Hospital,"Nat'l. Highway, San Pablo Sto. Domingo Ilocos Sur",Level 1/Primary,077-7263959
Albor District Hospital,"Albor, Libijo Surigao del Norte",Level 1/Primary,
Candon General Hospital,Tablac Candon City Ilocos Sur,Level 2/Secondary,077-7426112/6098/6184
Loreto District Hospital,"Loreto, Surigao del Norte",Level 1/Primary,(086) 232-6579
Mainit Medicare Community Hospital,,Level 1/Primary,(086) 826-5305
Ma. Estrella General Hospital,"Tawiran, Calapan City, Oriental Mindoro",Level 2/Secondary,043-4410079
Padron-Tibio Medical Clinic,"Pasuquin St., San Jose, Aurora, Isabela 3316",Level 1/Primary,078-6945107
Marcelo-Padilla Children's Medical Hospital,"Banga I, Plaridel, Bulacan, Philippines",Level 2/Secondary,044-7950119
Malimono District Hospital,,Level 1/Primary,
Corpuz Clinic and Hospital,Brgy. Namnama Sinait Ilocos Sur,Level 2/Secondary,077-6740273
Placer District Hospital,"Placer, Surigao del Norte",Level 1/Primary,(086) 826-5325/826-0225
Ramones General Hospital,"National Highway, Poblacion, San Mateo, Isabela 3318",Level 1,078-6442493
Señor Tesoro Hospital,"Poblacion II, Victoria, Oriental Mindoro",Level 1,285-5419
Pilar District Hospital,,Level 1/Primary,
Sta. Monica Municipal Hospital,"Sta. Monica, Surigao del Norte",Level 1/Primary,
Renmar Specialists' Hospital,"Maharlika Highway, Plaridel, Santiago City, Isabela 3311",Level 1,
Lahoz Clinic and Hospital,"Jose Singson St. Vigan City, Ilocos Sur",level 2/seconda,
Socorro District Hospital,,Level 1/Primary,(086) 826-2550
Pinamalayan Doctor's Hospital,"Francisco St., Pinamalayan, Oriental Mindoro",Level 1/Primary,289-3720
Pira Hospital,"Singson St., Rizal Cabugao Ilocos Sur",Level 2/Secondary,077-7285105/077-728-5665 fax
Cortes Municipal Hospital,"Cortes, Surigao del Sur",Level 1/Primary,
Sta. Clara de Montefalco Hospital,"Km. 20 NLEX Servcie Rd. Malhacan, Meycauayan",Level 3/Tertiary,044-6953647
Caraga Regional Hospital,Surigao City,Level 3,(086) 826-2459/826-3157/826-1748
Resonable Hospital,43 Madarang St. Sn. Jose Candon City Ilocos Sur,Level 2,077-7426162; 742-6461
Soller General Hospital,"San Bernabe St., Vira, Roxas, Isabela 3320",CategoryLevel 2,078-6428144
Miranda Family Hospital,"Surigao City, Surigao del Norte",Level 2/Secondary,(086) 826-1057/232-6450
St. Paul General Hospital,"Quezon St., Pinamalayan, Oriental Mindoro",Level 1,043-2843038
Hinatuan District Hospital,"Hinatuan, Surigao del Sur",Level 2/Secondary,(086) 853-5112/5246
Reyes Clinic and Hospital,Simpson St. Poblacion Sur Sta. Maria Ilocos Sur,Level 2,077-7325511
Veterans Regionall Hospital,"Maharlika Hiway, Magsaysay,Bayombong, Nueva Vizcaya 3700",Level 3,3212090/3213560/
Umali Medical Clinic,"Gelacio Ocampo St., Poblacion I, Victoria, Oriental Mindoro",Level 1/Primary,0921-4470689
St. Martin de Porres Hospital,25 de Marzo St. Candon City Ilocos Sur,Level 2/Secondary,077-7426464/5895 fax 742-6499
Lianga District Hospital,"Lianga, Surigao del Sur",Level 1/Primary,(086) 853-5222
Lingig Community Hospital,,Level 1/Primary,(086) 853-5282
Sta. Maria Village Clinic,"Block 4, Sta. Maria Village, Calapan City, Oriental Mindoro",Level 2/Secondary,043-2888342
Madrid District Hospital,"Madrid, Surigao del Sur",Level 2/Secondary,
Suero General Hospital,Baclig Cabugao,Level 2,077-7288595 728-5650 fax
Marihatag District Hospital,"Marihatag, Surigao del Sur",Level 1/Primary,
Dupax Del Norte District Hospital,"Purok Namnama, Malasin, Dupax Del Norte, Nueva Vizcaya 3706",Level 1/Primary,
San Miguel Community Hospital,"San Miguel, Surigao del Sur",Level 1/Primary,
Adela Serra Ty Memorial Medical Center,"Tandag, Surigao del Sur",Level 2/Secondary,(086) 211-3700
"Vigan Polyclinic, Inc.",Quirino Blvd. Cuta Vigan City Ilocos Sur,Level 2/Secondary,077-7228924/077-722-1877 fax
Kasibu Municipal Hospital,"Pudi, Kasibu, Nueva Vizcaya 3703",Level 1/Primary,
Bislig District Hospital,"Bislig City, Surigao del Sur",Level 2/Secondary,(086) 853-6008
Metro Vigan Cooperative Hospital,"Roxas Dike Bantay, Ilocos Sur",level 3/tertiary,
Lt. Tidang Memorial Hospital,"Cayusob,Pampang, Kayapa, Nueva Vizcaya 3708",Level 1/Primary,(078) 3212488
St. Anne Clinic,"153 Funcion St., Cabadbaran Agusan del Norte",Level 1/Primary,(085) 281-2168/ 343-0513
Duay Hospital,"Brgy. Tolosa, Cabadbaran, Agusan del Norte",Level 1/Primary,(085) 343-1889
St. James Hospital,Pantay Daya Vigan City Ilocos Sur,Level 3/Tertiary,077-7222943
Nueva Vizcaya Provincial Hospital,"Address; Maharlika Hiway,Pampang, Bambang, Nueva Vizcaya 3702",Level 2/Secondary,3213101
Clinica Jesus Nazareno,,Level 1/Primary,
St. Joseph Medical Clinic,"Magallanes, Agusan del Norte",Level 1/Primary,
Dingras District Hospital,"National Road, Brgy. Suyo, Dingras Ilocos Norte",level 2/ secondary,
United Doctor's Medical Clinic,"Bunawan, Agusan del Sur",Level 1/Primary,(085) 255-2399
Philsaga General Hospital,,Level 1/Primary,0920-8580028
Franco Clinic and Hospital,"Trento, Agusan del Sur",Level 1/Primary,(085) 255-2400/225-2210
Rico Medical Clinic and Hospital,"Trento, Agusan del Sur",Level 1/Primary,(085) 225-2275
St. Lawrence Hospital,"Poblacion III, Victoria, Oriental Mindoro",Level 1/Primary,285-5380
New Bayugan Medical Hospital,"Bayugan, Agusan del Sur",Level 1/Primary,(085) 231-2027
Bayugan J.M. Yap Sto. Nino Hospital,"Bayugan, Agusan del Sur",Level 1/Primary,(085) 231-2772/343-6011
Medical Mission Group Hospital and Health Services Cooperative,"Mabini St., Quezon, Solano, Nueva Vizcaya 3709",Level 2/Secondary,078-3267945
PLT College Inc. Luis A. Tiam Memorial Hospital,"Bascaran, Solano, Nueva Vizcaya 3709",Level 3/Tertiary,078-326-7777/7584
Saquing's Clinic,"Bambang, Nueva Vizcaya, Nueva Vizcaya",,
Andres Soriano Memorial Hospital,"Mangagoy, Bislig, Surigao del Sur",Level 3/Tertiary,(086) 853-3124/853-3125
Family Medical Clinic,"Mangagoy, Bislig, Surigao del Sur",Level 1/Primary,(086) 853-4305
St. Vincent de Paul College and Maternity and General Hospital,"Mangagoy, Bislig, Surigao del Sur",Level 1/Primary,
Laoag City General Hospital,"46 Nalvo Laoag City, Ilocos Norte",level 1/primary,
Aglipay District Hospital,"Old town site,Progreso, Aglipay, Quirino",Level 1/Primary,
Diffun District Hospital,"Andres Bonifacio, Diffun, Quirino 3401",Level 1/Primary,
"Isidro M. Olan Sr. Memorial Clinic and Hospital, Inc.","Pag-antayan, Cantilan Surigao del Sur",Level 1/Primary,
Piddig District Hospital,Piddig Ilocos Norte,Level 1/Primary,
Carlito O. Alvizo Medical & Children's Clinic,"Cantilan, Surigao del Sur",Level 1/Primary,
Grace- Christian Clinic and Hospital,"Surigao City, Surigao del Norte",Level 1/Primary,(086) 232-4427/231-7466/231-3190
"Surigao Medical Center, Inc.","Surigao City, Surigao del Norte",Level 2/Secondary,(086) 826-2004/0919-2169601
Maddela Municipal Hospital,"Provincial Highway, Diduyon, Maddela, Quirino 3404",Level 1/Primary,
Elisa R. Ochoa Memorial and Maternity General Hospital,San Jose St. Butuan City,Level 2/ Secondary,(085) 342-5017
"Holy Child of Butuan Hospital, Inc.","102 Southdrive, Guingona Subd., Butuan City",Level 1/Primary,(085) 342-3975
Quirino Provincial Hospital,"Provincial Highway, San Marcos, Cabarroguis, Quirino 3400",Level 2/Secondary,6828552
CARAGA Hospital & Infant Care Lying-in Center,"Nonan Village, Butuan City",Level 1/Primary,(085) 342-3356
Vintar District Hospital,Vintar Ilocos Norte,Level 1/Primary,0915-6975359
Bangui District Hospital,Abaca Bangui Ilocos Norte,Level 2/Secondary,77-6761158/0915-4546442
Abra Provincial Hospital,"Bangued, Abra",Level 2/Secondary,(074) 752-7510
Bucay Municipal Hospital,"Bucay, Abra",Level 1/Primary,0917-3238966
Dolores Medicare and Community Hospital,"Dolores, Abra",Level 1/Primary,0917-9082330
La Paz District Hospital,"La Paz, Abra",Level 1/Primary,0918-5620916
President Diosdado Macapagal Memorial Medical Center,"450 A. Mabini Street, Caloocan City",Level 3/Tertiary,(02) 3235308
Villaviciosa Medicare and Community Hospital,"Villaviciosa, Abra",Level 1/Primary,0917-3834204
Dr. Jose N. Rodriguez Memorial Hospital,Tala Caloocan City,Level 2/Secondary,9629884 / 9628209
Atok District Hospital,"Sayangan, Atok Benguet",Level 2/Secondary,0916-2096983
Abatan Emergency Hospital,"Abatan, Buguias Benguet",Level 1/Primary,0921-2740732
Doña Josefa Edralin Marcos District Hospital,Lydia Marcos Ilocos Norte,Level 2/Secondary,77-7847957
Dennis Molintas Memorial Hospital,"Bokod, Benguet",Level 1/Primary,0921-9779296
Kapangan Medicare and Community Hospital,"Kapangan, Benguet",Level 1/Primary,0910-2566321
San Lorenzo General Hospital,"Quirino Highway, Pasong Putik Novaliches, Quezon City",Level 2/ Secondary,"063(2) 939-7054, 930-2195"
Grace Mission Hospital,"Strong Republic, Nautical Highway, Catiningan, Socorro, Oriental Mindoro",Level 1/Primary,284-5293
"Neopolitan Medical Maternity Childrens and Lying-in Clinic, Inc. (Formerly Neopolitan general Hospital)","Flordeliza Bldg., Km23, Quirino Hi-way, Lagro, Quezon City",Level 1/ Primary,4184042
De Los Reyes Medical Clinic,"Aguinaldo St., Pinamalayan, Oriental Mindoro",Level 1/Primary,443-1260
Nodado General Hospital,"23 Zabarte Subd., Brgy. Kaligayahan Novaliches, Quezon City",Level 1/ Primary,9371485/9628021/4184454
Bongabong Community Hospital,"Brgy. Aplaya, Bongabong, Oriental Mindoro",Level 1/Primary,043-2835090
Valenzuela Medical Center,"Padrigal Street, Karuhatan, Valenzuela City",Level 4 /Specialty,2946711-14/2946717/2914259
St. John's Hospital,"323 Malinta, Valenzuela 1405",Level,
San Lorenzo Ruiz Women's Hospital,"Rosita Subd., O. Reyes St., Santolan, Malabon City",Level 2/ Secondary,2944853-55
Nuestro Espiritu Medical /Surgical & Diag. Clinic,"Brgy. Ipil, Bongabong, Oriental Mindoro",Level 1/Primary,283-5145
Governor Roque B. Ablan Sr. Memorial Hospital,"23 P. Gomez St.Laoag City, Ilocos Norte",level 3/tertiary,
Mariano Marcos Memorial Hospital and Medical Center,"6 San Julian Batac City, Ilocos Norte",level 4/specialty hospital - doh hospital,
Itogon Municipal Hospital,"Tinogdan, Itogon Benguet",Level 1/Primary,0929-8733014
Benguet General Hospital,"La Trinidad, Benguet",Level 3/Tertiary,(074) 422-5506/422-4722
Veterans Memorial Medical Center,"North Avenue, Quezon City",Level 4/Specialty,9277393/9271250
Luna Goco Medical Clinic,"lalud, Calapan City, Oriental Mindoro",Level 3/Tertiary,288-2473
Baguio General Hospital and Medical Center,"Gov. Park, Rd. Baguio City",Level 4/ DOH Hospital,219/212
Dr. Antonio A. Ranada Clinic and Lying-In Hospital,7-A Laoag City Ilocos Norte,Level 1/Primary,077-7705172
Philippine Children's Medical Center,"Quezon Avenue, Diliman, Quezon City",Level 4/Specialty,9246601-25/9240887
Baguio Medical Center,"Military Cut-Off, Baguio City",Level 2/Secondary,(074) 442-3338
Lung Center of the Philippines,"Quezon Avenue, Quezon City",Level 4/ Specialty,9246101 to 20
St. Magdalene Hospital,"0218 Bonifacio St., San Jose, Occidental Mindoro",Level 1,491-1287
Baguio Filipino Chinese General Hospital,"M. Roxas St., Baguio City",Level 2/Primary,(074) 442-3245
National Kidney & Transplant Institute,"East Avenue, Quezon City 1100",Level 4/ Specialty,9243601to19
Pine's City Doctor's Hospital,,Level 3/Tertiary,(073) 445-2091
Philippine Heart Center,"East Avenue, Quezon City 1100",Level 4/ Specialty,9252401-25/9214067
East Avenue Medical Center,"East Avenue, Diliman, Quezon City",Level 4/ Specialty,9280611/9292031
Dr. Bonifacia V. Albano Memorial Hospital,"National Road, Brgy. 21, Baccara Ilocos Norte",level 1/primary,
Fort del Pilar Station Hospital,"Kias, PMA Baguio City",Level 2/Secondary,(074) 447-2826
AFP Medical,"V. Luna Road, 1100 Quezon City",Level 4/Specialty,4262701
Zapanta Meternity & General Hospital,"4689 F. Manalo Ave., Brgy. Pag-asa, San Jose, Occidental Mindoro",Level 1/Primary,491-1491
Gertes Clinic and Hospital,"100 Ventrua St., Brgy. 15 San Nicolas Ilocos Norte",Level 1/Primary,077-7732391
The Black Nazarene Specialty Hospital,"29 Bonoan St., San Bartolome, San Nicolas Ilocos Norte",level 2-special,
Western United Doctor's Hospital Co.,"Gomez St., San Jose, Occidental Mindoro",Level 1/Primary,491-2207
Ifugao General Hospital,"Lagawe, Ifugao",Level 2/Secondary,(074) 386-4114
Hungduan Municipal Hospital,,Level 1/Primary,0916-7824790
Karmelli Clinic and Hospital,"Legaspi St., Brgy. 29, Laoag City Ilocos Norte",level 1/primary,
Quirino Memorial Medical Center,"Project 4, Katipunan, Quezon City",Level 4/Specialty,+632-913-4758/+632-421-2250
Panopdopan District Hospital,"Lamut, Ifugao",Level 1/Primary,
Aguinaldo People's Hospital,,Level 1/Primary,
Mayoyao District Hospital,,Level 2/Secondary,0916-1024723
Sta. Monica Hospital,"138 A. Bonifacio Ave., Tañong, 1800 Marikina City",Level 2/ Secondary,9978819
Portia District Hospital,,Level 1/Primary,0917-5741414
Laoag Pediatric Hospital,"57-A, Andres Castro St., Laoag City Ilocos Norte",level 1-special,
St. Martin's Mission Hospital,"San Roque, Poblacion, Sablayan, Occidental Mindoro",Level 1/Primary,0916-7131279
Tinoc District Hospital,"Tinoc, Ifugao",Level 1/Primary,0910-7679087
Marikina Valley Medical Center,"Sto. Niño, Marikina City",Level 3/Tertiary,
Our Lady of Fatima Medical Clinic and Hospital,#18 A. Mabini St. Laoag City Ilocos Norte,Level 1-Special,077-7705671/770-4940 fax
Amang Rodriguez Medical Center,"Sumulong Highway, Sto. Niño, Marikina City",Level 4/Specialty,9420245
Apayao District Hospital,,Level 1/Primary,0906-8258055
Conner District Hospital,,Level 1/Primary,0919-3484299
Jesus Immaculate Concepcion Hospital,"Katipunan St.,Santo Niño,Marikina, Philippines",Level 2/Secondary,02 941 9362
Ranada General Hospital,"9 Sta. Angela Balintawak St., Laoag City Ilocos Norte",level 1/primary,
